PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,날짜,시간대
16.0,16.0,0.026,0.004,0.1,0.001,2020-09-01,1
11.0,9.0,0.029,0.003,0.1,0.001,2020-09-01,2
11.0,8.0,0.03,0.004,0.1,0.001,2020-09-01,3
17.0,7.0,0.031,0.004,0.1,0.001,2020-09-01,4
12.0,11.0,0.031,0.004,0.1,0.001,2020-09-01,5
18.0,11.0,0.03,0.005,0.1,0.001,2020-09-01,6
17.0,10.0,0.025,0.009,0.1,0.001,2020-09-01,7
17.0,9.0,0.02,0.014,0.1,0.001,2020-09-01,8
14.0,9.0,0.019,0.015,0.1,0.002,2020-09-01,9
21.0,12.0,0.021,0.014,0.1,0.002,2020-09-01,10
13.0,7.0,0.026,0.012,0.2,0.002,2020-09-01,11
15.0,8.0,0.028,0.014,0.1,0.004,2020-09-01,12
,,,,,,2020-09-01,13
,,,,,,2020-09-01,14
,,,,,,2020-09-01,15
,,,,,,2020-09-01,16
,,,,,,2020-09-01,17
,,,,,,2020-09-01,18
,,,,,,2020-09-01,19
,,,,,,2020-09-01,20
,,,,,,2020-09-01,21
,,,,,,2020-09-01,22
,,,,,,2020-09-01,23
,,,,,,2020-09-02,0
,,,,,,2020-09-02,1
,,,,,,2020-09-02,2
,,,,,,2020-09-02,3
,,,,,,2020-09-02,4
,,,,,,2020-09-02,5
,,,,,,2020-09-02,6
,,,,,,2020-09-02,7
,,,,,,2020-09-02,8
,,,,,,2020-09-02,9
,,,,,,2020-09-02,10
,,,,,,2020-09-02,11
,,,,,,2020-09-02,12
,,,,,,2020-09-02,13
,,,,,,2020-09-02,14
,,,,,,2020-09-02,15
,,,,,,2020-09-02,16
,,,,,,2020-09-02,17
,,,,,,2020-09-02,18
,,,,,,2020-09-02,19
,,,,,,2020-09-02,20
,,,,,,2020-09-02,21
,,,,,,2020-09-02,22
,,,,,,2020-09-02,23
,,,,,,2020-09-03,0
,,,,,,2020-09-03,1
,,,,,,2020-09-03,2
,,,,,,2020-09-03,3
,,,,,,2020-09-03,4
,,,,,,2020-09-03,5
,,,,,,2020-09-03,6
,,,,,,2020-09-03,7
,,,,,,2020-09-03,8
,,,,,,2020-09-03,9
,,,,,,2020-09-03,10
,,,,,,2020-09-03,11
,,,,,,2020-09-03,12
,,,,,,2020-09-03,13
,,,,,,2020-09-03,14
,,,,,,2020-09-03,15
,,,,,,2020-09-03,16
,,,,,,2020-09-03,17
,,,,,,2020-09-03,18
,,,,,,2020-09-03,19
,,,,,,2020-09-03,20
,,,,,,2020-09-03,21
,,,,,,2020-09-03,22
,,,,,,2020-09-03,23
,,,,,,2020-09-04,0
,,,,,,2020-09-04,1
,,,,,,2020-09-04,2
,,,,,,2020-09-04,3
,,,,,,2020-09-04,4
,,,,,,2020-09-04,5
,,,,,,2020-09-04,6
,,,,,,2020-09-04,7
,,,,,,2020-09-04,8
,,,,,,2020-09-04,9
,,,,,,2020-09-04,10
,,,,,,2020-09-04,11
,,,,,,2020-09-04,12
,,,,,,2020-09-04,13
,,,,,,2020-09-04,14
,,,,,,2020-09-04,15
,,,,,,2020-09-04,16
,,,,,,2020-09-04,17
,,,,,,2020-09-04,18
,,,,,,2020-09-04,19
,,,,,,2020-09-04,20
,,,,,,2020-09-04,21
,,,,,,2020-09-04,22
,,,,,,2020-09-04,23
,,,,,,2020-09-05,0
,,,,,,2020-09-05,1
,,,,,,2020-09-05,2
,,,,,,2020-09-05,3
,,,,,,2020-09-05,4
,,,,,,2020-09-05,5
,,,,,,2020-09-05,6
,,,,,,2020-09-05,7
,,,,,,2020-09-05,8
,,,,,,2020-09-05,9
,,,,,,2020-09-05,10
,,,,,,2020-09-05,11
,,,,,,2020-09-05,12
,,,,,,2020-09-05,13
,,,,,,2020-09-05,14
,,,,,,2020-09-05,15
,,,,,,2020-09-05,16
,,,,,,2020-09-05,17
,,,,,,2020-09-05,18
,,,,,,2020-09-05,19
,,,,,,2020-09-05,20
,,,,,,2020-09-05,21
,,,,,,2020-09-05,22
,,,,,,2020-09-05,23
,,,,,,2020-09-06,0
,,,,,,2020-09-06,1
,,,,,,2020-09-06,2
,,,,,,2020-09-06,3
,,,,,,2020-09-06,4
,,,,,,2020-09-06,5
,,,,,,2020-09-06,6
,,,,,,2020-09-06,7
,,,,,,2020-09-06,8
,,,,,,2020-09-06,9
,,,,,,2020-09-06,10
,,,,,,2020-09-06,11
,,,,,,2020-09-06,12
,,,,,,2020-09-06,13
,,,,,,2020-09-06,14
,,,,,,2020-09-06,15
,,,,,,2020-09-06,16
,,,,,,2020-09-06,17
,,,,,,2020-09-06,18
,,,,,,2020-09-06,19
,,,,,,2020-09-06,20
,,,,,,2020-09-06,21
,,,,,,2020-09-06,22
,,,,,,2020-09-06,23
,,,,,,2020-09-07,0
,,,,,,2020-09-07,1
,,,,,,2020-09-07,2
,,,,,,2020-09-07,3
,,,,,,2020-09-07,4
,,,,,,2020-09-07,5
,,,,,,2020-09-07,6
,,,,,,2020-09-07,7
,,,,,,2020-09-07,8
,,,,,,2020-09-07,9
,,,,,,2020-09-07,10
,,,,,,2020-09-07,11
,,,,,,2020-09-07,12
,,,,,,2020-09-07,13
,,,,,,2020-09-07,14
,,,,,,2020-09-07,15
,,,,,,2020-09-07,16
,,,,,,2020-09-07,17
,,,,,,2020-09-07,18
,,,,,,2020-09-07,19
,,,,,,2020-09-07,20
,,,,,,2020-09-07,21
,,,,,,2020-09-07,22
,,,,,,2020-09-07,23
,,,,,,2020-09-08,0
,,,,,,2020-09-08,1
,,,,,,2020-09-08,2
,,,,,,2020-09-08,3
,,,,,,2020-09-08,4
,,,,,,2020-09-08,5
,,,,,,2020-09-08,6
,,,,,,2020-09-08,7
,,,,,,2020-09-08,8
,,,,,,2020-09-08,9
,,,,,,2020-09-08,10
,,,,,,2020-09-08,11
,,,,,,2020-09-08,12
,,,,,,2020-09-08,13
,,,,,,2020-09-08,14
,,,,,,2020-09-08,15
,,,,,,2020-09-08,16
68.0,42.0,0.058,0.029,0.4,0.002,2020-09-08,17
64.0,39.0,0.063,0.028,0.4,0.002,2020-09-08,18
71.0,41.0,0.072,0.019,0.4,0.002,2020-09-08,19
63.0,42.0,0.048,0.035,0.5,0.003,2020-09-08,20
67.0,47.0,0.029,0.039,0.5,0.002,2020-09-08,21
66.0,44.0,0.031,0.042,0.5,0.002,2020-09-08,22
76.0,52.0,0.061,0.014,0.5,0.002,2020-09-08,23
68.0,54.0,0.077,0.008,0.5,0.002,2020-09-09,0
73.0,49.0,0.075,0.006,0.5,0.002,2020-09-09,1
62.0,43.0,0.073,0.007,0.4,0.002,2020-09-09,2
59.0,46.0,0.056,0.008,0.4,0.001,2020-09-09,3
55.0,46.0,0.045,0.008,0.4,0.001,2020-09-09,4
58.0,39.0,0.047,0.011,0.4,0.001,2020-09-09,5
62.0,49.0,0.045,0.01,0.4,0.001,2020-09-09,6
65.0,47.0,0.045,0.019,0.4,0.002,2020-09-09,7
57.0,42.0,0.067,0.013,0.3,0.001,2020-09-09,8
26.0,21.0,0.046,0.033,0.3,0.001,2020-09-09,9
17.0,15.0,0.04,0.034,0.3,0.003,2020-09-09,10
23.0,21.0,0.056,0.027,0.8,0.006,2020-09-09,11
26.0,22.0,0.055,0.021,0.5,0.003,2020-09-09,12
18.0,14.0,0.069,0.01,0.2,0.001,2020-09-09,13
17.0,16.0,,,,,2020-09-09,14
,,,,,,2020-09-09,15
,,,,,,2020-09-09,16
,,,,,,2020-09-09,17
30.0,18.0,0.054,0.022,0.4,0.001,2020-09-09,18
30.0,15.0,0.051,0.021,0.4,0.001,2020-09-09,19
28.0,17.0,0.034,0.03,0.4,0.001,2020-09-09,20
34.0,17.0,0.033,0.023,0.4,0.001,2020-09-09,21
33.0,19.0,0.034,0.026,0.4,0.001,2020-09-09,22
30.0,23.0,0.043,0.008,0.5,0.001,2020-09-09,23
29.0,17.0,0.039,0.007,0.5,0.001,2020-09-10,0
25.0,18.0,0.036,0.009,0.4,0.001,2020-09-10,1
27.0,19.0,0.044,0.007,0.4,0.001,2020-09-10,2
26.0,17.0,0.054,0.005,0.3,0.001,2020-09-10,3
19.0,13.0,0.044,0.009,0.3,0.001,2020-09-10,4
17.0,12.0,0.026,0.011,0.4,0.001,2020-09-10,5
25.0,11.0,0.025,0.014,0.4,0.001,2020-09-10,6
19.0,,0.011,0.02,0.4,0.001,2020-09-10,7
26.0,16.0,0.012,0.024,0.4,0.002,2020-09-10,8
37.0,17.0,0.01,0.036,0.4,0.003,2020-09-10,9
36.0,24.0,0.025,0.023,0.5,0.003,2020-09-10,10
33.0,20.0,0.039,0.019,0.5,0.003,2020-09-10,11
33.0,19.0,0.047,0.015,0.7,0.005,2020-09-10,12
29.0,22.0,0.066,0.023,0.9,0.011,2020-09-10,13
40.0,34.0,0.126,0.015,0.6,0.016,2020-09-10,14
46.0,37.0,0.136,0.02,0.5,0.009,2020-09-10,15
44.0,31.0,0.086,0.026,0.4,0.007,2020-09-10,16
35.0,30.0,0.074,0.017,0.4,0.006,2020-09-10,17
25.0,19.0,0.059,0.02,0.4,0.004,2020-09-10,18
30.0,19.0,0.049,0.017,0.4,0.002,2020-09-10,19
29.0,22.0,0.027,0.026,0.4,0.002,2020-09-10,20
37.0,24.0,0.034,0.025,0.5,0.002,2020-09-10,21
40.0,27.0,0.041,0.02,0.6,0.003,2020-09-10,22
41.0,31.0,0.035,0.016,0.6,0.002,2020-09-10,23
45.0,30.0,0.04,0.012,0.6,0.002,2020-09-11,0
36.0,31.0,0.04,0.008,0.6,0.002,2020-09-11,1
35.0,28.0,0.032,0.008,0.6,0.002,2020-09-11,2
38.0,24.0,0.027,0.01,0.6,0.002,2020-09-11,3
36.0,28.0,0.027,0.01,0.5,0.002,2020-09-11,4
35.0,25.0,0.027,0.015,0.5,0.003,2020-09-11,5
37.0,21.0,0.028,0.01,0.4,0.002,2020-09-11,6
30.0,19.0,0.03,0.013,0.5,0.002,2020-09-11,7
30.0,23.0,0.019,0.023,0.6,0.002,2020-09-11,8
36.0,21.0,0.008,0.037,0.5,0.002,2020-09-11,9
43.0,27.0,0.009,0.036,0.5,0.002,2020-09-11,10
46.0,29.0,0.024,0.028,0.5,0.002,2020-09-11,11
43.0,26.0,0.028,0.024,0.5,0.002,2020-09-11,12
40.0,28.0,0.049,0.012,0.5,0.002,2020-09-11,13
34.0,29.0,0.042,0.02,0.5,0.002,2020-09-11,14
41.0,26.0,0.036,0.023,0.4,0.002,2020-09-11,15
38.0,26.0,0.023,0.033,0.5,0.002,2020-09-11,16
42.0,26.0,0.025,0.027,0.5,0.002,2020-09-11,17
41.0,28.0,0.03,0.022,0.5,0.002,2020-09-11,18
44.0,30.0,0.032,0.021,0.5,0.002,2020-09-11,19
42.0,33.0,0.032,0.018,0.4,0.002,2020-09-11,20
36.0,25.0,0.036,0.015,0.4,0.001,2020-09-11,21
25.0,22.0,0.041,0.009,0.4,0.001,2020-09-11,22
25.0,19.0,0.043,0.006,0.4,0.001,2020-09-11,23
20.0,,0.044,0.005,0.4,0.001,2020-09-12,0
17.0,16.0,0.047,0.004,0.3,0.001,2020-09-12,1
13.0,13.0,0.048,0.003,0.3,0.001,2020-09-12,2
11.0,,0.051,0.003,0.3,0.001,2020-09-12,3
12.0,12.0,0.05,0.003,0.3,0.001,2020-09-12,4
9.0,9.0,0.048,0.004,0.3,0.001,2020-09-12,5
8.0,8.0,0.048,0.004,0.3,0.001,2020-09-12,6
9.0,6.0,0.046,0.005,0.3,0.001,2020-09-12,7
