날짜,시간대,차량진입횟수,체류시간
2020-09-01,7,8,0 days 00:21:00
2020-09-01,8,520,0 days 00:30:33.230769230
2020-09-01,9,754,0 days 00:29:29.761273209
2020-09-01,10,900,0 days 00:29:26.533333333
2020-09-01,11,898,0 days 00:58:36.881959910
2020-09-01,12,26,0 days 00:26:46.153846153
2020-09-01,13,1150,0 days 00:31:55.721739130
2020-09-01,14,1082,0 days 00:34:12.310536044
2020-09-01,15,1158,0 days 00:42:57.720207253
2020-09-01,16,1076,0 days 00:39:29.219330855
2020-09-01,17,816,0 days 00:56:13.529411764
2020-09-01,18,96,0 days 00:41:01.250000
2020-09-01,19,880,0 days 00:45:51.818181818
2020-09-01,20,420,0 days 00:45:34.857142857
2020-09-01,21,266,0 days 00:36:01.353383458
2020-09-01,22,106,0 days 00:40:44.150943396
2020-09-01,23,26,0 days 00:30:09.230769230
2020-09-03,7,34,0 days 00:24:17.647058823
2020-09-03,8,680,0 days 00:27:47.470588235
2020-09-03,9,1106,0 days 00:35:49.909584086
2020-09-03,10,1200,0 days 00:34:47.300000
2020-09-03,11,898,0 days 00:58:06.414253897
2020-09-03,12,52,0 days 00:33:20.769230769
2020-09-03,13,1166,0 days 00:28:20.686106346
2020-09-03,14,1182,0 days 00:36:10.964467005
2020-09-03,15,1222,0 days 00:40:49.001636661
2020-09-03,16,1052,0 days 00:41:43.916349809
2020-09-03,17,700,0 days 00:40:51.257142857
2020-09-03,18,82,0 days 00:39:08.780487804
2020-09-03,19,570,0 days 00:35:52.842105263
2020-09-03,20,246,0 days 00:37:34.634146341
2020-09-03,21,228,0 days 00:26:28.421052631
2020-09-03,22,84,0 days 00:22:01.428571428
2020-09-03,23,2,0 days 00:14:00
2020-09-04,7,14,0 days 00:20:34.285714285
2020-09-04,8,626,0 days 00:28:51.757188498
2020-09-04,9,728,0 days 00:32:08.076923076
2020-09-04,10,876,0 days 00:41:26.712328767
2020-09-04,11,780,0 days 01:01:49.692307692
2020-09-04,12,18,0 days 00:35:40
2020-09-04,13,1058,0 days 00:34:07.599243856
2020-09-04,14,852,0 days 00:32:26.619718309
2020-09-04,15,800,0 days 00:33:08.850000
2020-09-04,16,1144,0 days 00:39:52.867132867
2020-09-04,17,688,0 days 00:45:26.511627906
2020-09-04,18,72,0 days 00:51:11.666666666
2020-09-04,19,872,0 days 00:51:17.064220183
2020-09-04,20,424,0 days 00:43:41.037735849
2020-09-04,21,252,0 days 00:37:05.714285714
2020-09-04,22,122,0 days 00:25:51.147540983
2020-09-04,23,18,0 days 00:20:46.666666666
2020-09-05,7,16,0 days 00:28:52.500000
2020-09-05,8,442,0 days 00:37:46.153846153
2020-09-05,9,576,0 days 00:34:34.166666666
2020-09-05,10,732,0 days 00:34:32.622950819
2020-09-05,11,666,0 days 01:06:55.855855855
2020-09-05,12,24,0 days 00:41:10
2020-09-05,13,644,0 days 00:32:20.310559006
2020-09-05,14,518,0 days 00:27:51.891891891
2020-09-05,15,388,0 days 00:30:13.608247422
2020-09-05,16,358,0 days 00:31:32.178770949
2020-09-05,17,150,0 days 00:27:16
2020-09-05,18,54,0 days 00:30:02.222222222
2020-09-05,19,140,0 days 00:33:17.142857142
2020-09-05,20,56,0 days 00:25:42.857142857
2020-09-05,21,8,0 days 00:25:45
2020-09-06,7,8,0 days 00:16:45
2020-09-06,8,28,0 days 00:20:21.428571428
2020-09-06,9,66,0 days 00:17:09.090909090
2020-09-06,10,40,0 days 00:22:00
